brand,name,old_price,new_price,store
Craftsman,Craftsman 320-Piece Mechanic's Tool Set,399.99,159.99,Sears
Craftsman,Craftsman 450-Piece Mechanic's Tool Set,549.99,229.99,Sears
Craftsman,Craftsman 115-Piece Mechanic Tool Set,199.99,69.99,Sears
Craftsman,Craftsman 230-Piece Mechanic's Tool Set,279.99,99.99,Sears
Craftsman,Craftsman 500-Piece Mechanic Tool Set,1599.99,809.99,Sears
Craftsman,Craftsman 165-Piece Mechanic Tool Set,219.99,71.99,Sears
Craftsman,"CRAFTSMAN Home Tool Kit / Mechanics Tools Kit, 57-Piece (CMMT99446)",169.00,97.69,eBuzz
Winado,"Winado 799 PCS Complete Tool Set Mechanics Wrenches Screwdriver Socket with Trolley Case, Auto Home Repair Kit",,118.99,Winado
Craftsman,Craftsman 270-Piece Mechanic Tool Set,499.99,219.99,Sears
FIRSTOFFER (Limited Sale)!!,FIRSTOFFER (Limited Sale)!! 9pcs Hose Clamp Clip Plier Set Swivel Jaw Flat Angled Band Auto Repair Tools Kit,65.50,55.60,Kiky Direct
DeWalt,"DeWalt 115-DWMT73801 Mechanics Tool Set, 108-Piece",,118.99,factory outlet inc
Stock Preferred,Stock Preferred Damaged Screw Extractor 1/4 Hex Shank 6PCS,28.99,18.99,Stock Preferred
DeWalt,"DeWalt DWMT73802 142-Pc. Mechanics Tool Kit, With Case - Quantity 1",,169.99,tradeCOzone
BESTBUY,BESTBUY New 5PCS Step Drill Bit Set 50 Sizes HSS COBALT Multiple Hole Step Drill Bit Set Mechanic Tool Set Accessory Kit,42.70,34.16,Kiky Direct
Crescent,Crescent CTK128C Crescent 3/8 In. Drive 12-Point Standard/Metric Mechanic & Automotive Tool Set (128-Piece) CTK128C,127.99,122.32,SIM Supply
Stock Preferred,Stock Preferred Pick and Hook Set Gasket Scraper Hose Removal Pry Pullers Tool Set 4in1,24.99,14.99,Stock Preferred
GearWrench,GearWrench KDT-83095 Auto Mechanic Tool Set,6725.90,2690.36,"UnbeatableSale.com, Inc."
Capri Tools,Capri Tools 107-Piece Electrical Terminal Assortment Set,23.28,18.62,Kiky Direct
GearWrench,GearWrench 165PC 1/4 3/8 1/2 MECHANICS TO,367.71,262.65,Vir Ventures
DeWalt,"DeWalt Stanley Tools 7515075 DWMT73807 Tool Accessory Kit, 0.25 x 0.375 in.",111.19,53.35,"UnbeatableSale.com, Inc."
