brand,name,old_price,new_price,store
Candle by the Hour,Candle by the Hour 20641R 70 Hour Beehive Coil Candle - Refill,63.48,35.13,"UnbeatableSale.com, Inc."
Melrose,"Melrose International Tree Taper Candle (Set Of 12) W/Remote 5.5""H Plastic",,44.06,Diamond2Deal Inc
Ladybug Soap Company,"Ladybug Soap Company Soy Wax Tart Melt 3 oz Clam Shell Paraffin Free, Parabens Free, Phthalate Free, Dy Free, Toxin Free (2 Pack - 3 oz Clamshell,",21.63,20.56,GrowKart
O2Cool,O2COOL Battery Powered Deluxe Necklace Fan For Personal Cooling With Adjustable Lanyard (Raspberry),23.78,12.84,FastMedia
Vickerman,Vickerman 4' Metallic Candle with Halo w/40 LEDC7 - D492043 ,476.93,298.08,Vir Ventures
Celeb Prayer Candle,Celeb Prayer Candle Johnny Depp Celebrity Prayer Candle - Funny Saint Candle - 8 inch Glass Prayer Votive - 100% Handmade in USA - Novelty,43.52,39.54,GrowKart
Game of Thrones,"Game of Thrones Sculpted Dragon Egg Candles, Set of 3 - Perfect for GoT Fans - 2 1/2"" each",57.78,51.59,GrowKart
Celebrity Prayer Candles,Celebrity Prayer Candles Alexandria Ocasio Cortez Celebrity Prayer Candle - AOC Funny Saint Candle - 8 inch Glass Prayer Votive - 100% Handmade in USA,43.52,39.54,GrowKart
Ladybug Soap Company,"Ladybug Soap Company Soy Wax Tart Melt 3 oz Clam Shell Paraffin Free, Parabens Free, Phthalate Free, Dy Free, Toxin Free (3 Packs - 3 oz",35.65,32.40,GrowKart
Whiskey River Soap Co.,Whiskey River Soap Co. 13oz Astrology Candle (Pisces),20.99,19.95,GrowKart
Candle by the Hour,"Candle by the Hour Eclipse Gum Candle by the Hour 120-Hour Beehive Candle Refill, (20642R)",,26.99,As Seen on TV Products
Ladybug Soap Company,"Ladybug Soap Company Soy Wax Tart Melt 3 oz Clam Shell Paraffin Free, Parabens Free, Phthalate Free, Dy Free, Toxin Free (3 oz Clam Shell - 2",21.63,20.56,GrowKart
Watchover Voodoo,Watchover Voodoo Hawaiian Hula Girl Novelty,7.30,6.94,GrowKart
Celebrity Prayer Candles,Celebrity Prayer Candles Louis Tomlinson Celebrity Prayer Candle - Funny Saint Votive - Pop Culture Celeb Prayer Candle - 100% Handmade in USA -,50.14,45.54,GrowKart
Melrose International,"Melrose International LED Flickering Tea Light w/6 Hr Timer (Set of 12) 1""H Plastic (2 CR2450 Lithium Batt Incld.)",109.13,58.93,ErgodE
Melrose International,"Melrose International Simplux LED Dripping Candle w/Moving Flame (Set of 2)3""Dx5""H",88.99,55.62,Vir Ventures
Green Pastures Wholesale,"Green Pastures Wholesale Small Beehive Beeswax Yellow Candles, Set of 24 (BW01Y)",62.86,56.11,GrowKart
Crystal Journey,"Crystal Journey Reiki Charged Herbal Magic Pillar Candle Wealth and Health Bundle Positive Energy, Money, Abundance",86.22,51.73,Ami Ventures Inc
Fury Bros.,"Fury Bros. Patriot Scented Candle for Men, Scented with Fire Smoke and Fresh Cut Tobacco (1 Pint Oil Can Soy Candle)",56.45,50.40,GrowKart
Flatyz,"Flatyz Hand Painted Flat Candle | Unscented, Dripless, Smokeless, Decorative | Sunflower | Double Wick with Metal Base |",,799.00,GrowKart
Celebrity Prayer Candles,Celebrity Prayer Candles Jared Leto Celebrity Prayer Candle - Funny Saint Candle - 8 inch Glass Prayer Votive - 100% Handmade in USA - Novelty,50.14,45.54,GrowKart
Melrose International,"Melrose International Simplux LED Pillar Candle w/Moving Flame (Set of 2)  3""D x 9""H",80.83,43.65,ErgodE
Celebrity Prayer Candles,Celebrity Prayer Candles Andy Cohen Celebrity Prayer Candle - Funny Saint Candle - 8 inch Glass Prayer Votive - 100% Handmade in USA - Novelty,43.52,39.54,GrowKart
Melrose International,"Melrose International Simplux LED Mosaic Candle w/ Moving Flame (Set of 2) 3""Dx6""H Glass/Plastic",51.84,32.40,Vir Ventures
Candlecopia,"Candlecopia Pumpkin Souffl̩ Strongly Scented Hand Poured Vegan Wax Melts, 12 Scented Wax Cubes, 6.4 Ounces in 2 x 6-Packs",21.57,20.50,GrowKart
Confirmation Candle,"Confirmation Candle Come Holy Spirit Confirmation Taper Candle in Keepsake Box, 10 Inch",20.19,19.19,GrowKart
Car Jar,"Car Jar Yankee Candle NW1238122 Yankee Candle Car Jar Ultimate Car Air Freshener, Pink Sands NW1238122",16.99,15.91,SIM Supply
Ner Mitzvah,Ner Mitzvah Braided Havdalah Candle - Flat Blue and White Paraffin Wax - Shabbat Judaica Gift,11.34,10.78,GrowKart
Christian Brands Church,"Christian Brands Church 9"" Advent Pillar Candle Set - Blue/Pink",220.86,191.89,GrowKart
Christian Brands Church,Christian Brands Church Electric Candle - Battery Operated St Peregrine - 4 pk,156.38,135.92,GrowKart
Melrose International,"Melrose International Melrose Set of 12 LED Lighted Ivory Flameless Mini Pillar Candles 3""",119.99,109.49,Christmas Central
Avalon Gallery,"Avalon Gallery Nativity Scene Advent Candle Holder, 10 1/4 Inch",129.56,112.64,GrowKart
Melrose International,"Melrose International Lanterns w/LED Candle (Set of 3) w/6 Hour Timer 13""H Plastic/Glass",152.35,95.22,Vir Ventures
Melrose International,"Melrose International LED Mini Pillar Candle w/Timer (Set of 12) 1.4""Dx3""H Wax/Plastic - 2 AA Batt Not Inlcd",115.82,89.09,KART IT
vidaXL,vidaXL Freestanding Candle Lantern Holder Bamboo Black,151.20,88.94,Vir Ventures
Melrose International,"Melrose International Arborvitae Candle Wreath (Set of 6) 11""D Plastic (fits 4"" candle)",141.23,88.27,Vir Ventures
Melrose International,Melrose International Simplux LED Dripping Candle w/ Moving Flame (Set of 2 w/Remote),140.66,87.91,Vir Ventures
Melrose International,"Melrose International Pine Candle Wreath (Set of 4) 13""D Plastic (fits 6"" candle)",137.89,86.18,Vir Ventures
Melrose International,Melrose International 42804DS 3 x 1.4 in. Wax & Plastic LED Mini Pillar Candle with Timer&#44; Set of 12,194.76,82.17,"UnbeatableSale.com, Inc."
E Vigilia,E Vigilia Purple 7 Day Candle - 12 Pack,90.87,81.08,GrowKart
Melrose International,Melrose International Simplux Round Candle w/Moving Flame (Set of 2 w/Remote),125.86,78.66,Vir Ventures
Melrose International,Melrose International Simplux Squared Candle w/Moving Flame (Set of 2 w/Remote),123.84,77.40,Vir Ventures
Candle by the Hour,"Candle by the Hour 160-Hour Beehive Candle, Eco-friendly Natural Beeswax with Cotton Wick",85.97,76.71,GrowKart
Melrose International,Melrose International Simplux Squared Candle w/Moving Flame (Set of 2 w/Remote),99.61,76.62,KART IT
Candlestock,Candlestock Black Drip Candle 50 Pack (Perfect for Bottle Dripping),85.26,76.08,GrowKart
Melrose International,"Melrose International Lantern w/3""x6"" LED Candle (Set of 2)  14.75""H",120.82,75.51,Vir Ventures
Religious Gifts,"Religious Gifts Christmas Advent Candle Set of 4 Purple and Pink Wax, 16 Inch",83.88,74.85,GrowKart
Celebrity Prayer Candles,Celebrity Prayer Candles Barack and Michelle Obama Set - Funny Saint Candles - Former President and First Lady - Political,83.83,74.80,GrowKart
Melrose International,"Melrose International LED Birch Candle 3.5""D x 5""H (Set of 2) with Remote",118.19,73.87,Vir Ventures
Melrose International,"Melrose International Flocked Candle Ring (Set of 2) 11""D Plastic (fits a 3"" candle)",118.03,73.77,Vir Ventures
Melrose International,"Melrose International LED Clip On Taper Candle (Set of 24) 6.5""H Plastic",117.36,73.35,Vir Ventures
Melrose International,Melrose International 70322 Metal Candle Holder - Set of 2,162.77,72.24,"UnbeatableSale.com, Inc."
